CD_EMPRESA;ANO;DS_FINANCIAMENTO;VL_FINANCIAMENTO;CD_INDICE;TX_MULTIPLICADOR_INDICE;TX_ADICIONAL;CD_INDICE_2;TX_MULTIPLICADOR_INDICE_2;TX_ADICIONAL_2;CD_INDICE_FIM;TX_MULTIPLICADOR_INDICE_FIM;TX_ADICIONAL_FIM;;;;
32;2015;Prépagamentosexportação; 1.996.624 ;11;100;4,05;4;100;;;;;;;;
32;2015;Notasdecréditoàexportação; 5.840.506 ;11;100;5;;;;;;;;;;
32;2015;Prépagamentosexportaçãoc/controladas; 1.592.042 ;11;100;4,4;;;;;;;;;;
32;2015;Outros; 1.319.513 ;11;100;1,9;;;;;;;;;;
32;2015;Bonds(Notes); 1.999.190 ;11;100;5,2;;;;;;;;;;
32;2015;Debentures 1a serie; 399.996 ;5;100;7,25;;;;;;;;;;
32;2015;Debentures 2a serie; 399.996 ;5;100;2,5;;;;;;;;;;
32;2015;Debentures sexta emissao; 1.700.000 ;11;100;8;;;;;;;;;;
32;2016;BNDES-ProjetoPuma; 2.116.142 ;;;6;;;;8;100;2,48;;;;
32;2016;BNDES-Outros; 697.708 ;8;100;4,8;;;;;;;;;;
32;2016;BNDES-FINAME; 312.988 ;;;6,39;;;;;;;;;;
32;2016;Notasdecréditoàexportação(emR$); 1.021.915 ;1;100;;;;;;;;;;;
32;2016;Outros; 112.244 ;;;3,9;;;;;;;;;;
32;2016;BNDES-ProjetoPuma; 1.223.715 ;11;100;6,6;;;;;;;;;;
32;2016;BNDES-Outros; 305.183 ;11;100;4,21;;;;;;;;;;
32;2016;Prépagamentosexportação; 6.660.488 ;11;100;4,05;4;100;;;;;;;;
32;2016;Notasdecréditoàexportação; 1.338.248 ;11;100;5;;;;;;;;;;
32;2016;Prépagamentosexportaçãoc/controladas; 1.614.159 ;11;100;4,4;;;;;;;;;;
32;2016;BID; 854.423 ;11;100;1,59;4;100;;;;;;;;
32;2016;Finnvera; 1.164.654 ;11;100;2,2;4;100;;;;;;;;
32;2016;Outros; 40.749 ;11;100;1,9;;;;;;;;;;
32;2016;Bonds(Notes); 1.668.530 ;11;100;5,2;;;;;;;;;;
32;2016;Debentures1aserie; 399.996 ;5;100;7,25;;;;;;;;;;
32;2016;Debentures2aserie; 399.996 ;5;100;2,5;;;;;;;;;;
32;2016;Debentures sexta emissao; 1.700.000 ;11;100;8;;;;;;;;;;
32;2017;BNDES-ProjetoPuma; 1.952.507 ;;;6;;;;8;100;2,19;;;;
32;2017;BNDES-Outros(i); 141.639 ;8;100;2,67;;;;;;;;;;
32;2017;BNDES-FINAME; 208.293 ;;;6,25;;;;;;;;;;
32;2017;Notasdecréditoàexportação(emR$); 818.478 ;1;104,5;;;;;1;105,5;;;;;
32;2017;CRA; 1.460.487 ;1;95;;;;;1;97,5;;;;;
32;2017;Outros; 61.208 ;;;4,88;;;;;;;;;;
32;2017;BNDES-ProjetoPuma; 1.088.160 ;11;100;6,75;;;;;;;;;;
32;2017;BNDES-Outros; 69.678 ;11;100;6,61;;;;;;;;;;
32;2017;Prépagamentosexportação; 6.751.043 ;11;100;5,54;;;;;;;;;;
32;2017;Notasdecréditoàexportação; 978.107 ;11;100;6,41;;;;;;;;;;
32;2017;Prépagamentosexportaçãoc/controladas; 3.385.494 ;11;100;5,68;;;;;;;;;;
32;2017;BID; 871.058 ;11;100;1,59;4;100;;;;;;;;
32;2017;Finnvera; 1.088.097 ;11;100;0,94;4;100;;;;;;;;
32;2017;Bonds(Notes); 3.370.180 ;11;100;5,07;;;;;;;;;;
32;2017;Debentures1aserie; 399.996 ;5;100;7,25;;;;;;;;;;
32;2017;Debentures2aserie; 399.996 ;5;100;2,5;;;;;;;;;;
32;2017;Debentures sexta emissao; 1.700.000 ;11;100;8;;;;;;;;;;
32;2018;Debentures sexta emissao; 1.700.000 ;11;100;8;;;;;;;;;;
32;2018;BNDES-ProjetoPuma; 1.678.295 ;;;6;;;;8;100;2,19;;;;
32;2018;BNDES-Outros; 84.463 ;8;100;2,67;;;;;;;;;;
32;2018;BNDES-FINAME; 110.384 ;8;100;2,67;;;;;;;;;;
32;2018;Notasdecréditoàexportação(emR$); 2.925.262 ;1;102;;;;;1;114;;;;;
32;2018;CRA; 1.815.251 ;1;95;;;;;1;102;;;;;
32;2018;Outros; 37.359 ;;;4,86;;;;;;;;;;
32;2018;BNDES-ProjetoPuma; 1.094.332 ;11;100;7,18;;;;;;;;;;
32;2018;BNDES-Outros; 43.530 ;11;100;6,87;;;;;;;;;;
32;2018;Prépagamentosexportação; 4.559.069 ;11;100;5,28;;;;;;;;;;
32;2018;Notasdecréditoàexportação; 586.100 ;11;100;2,5;4;100;;;;;;;;
32;2018;Prépagamentosexportaçãoc/controladas; 3.967.591 ;11;100;5,68;;;;;;;;;;
32;2018;BID; 841.479 ;11;100;1,59;4;100;;;;;;;;
32;2018;Finnvera; 1.115.071 ;11;100;0,94;4;100;;;;;;;;
32;2018;ECA; 38.428 ;38;100;0,85;;;;;;;;;;
32;2018;Ganho/perdacominstrumentosderivativos(swap); 114.125 ;;;5,66;;;;;;;;;;
32;2018;Bonds(Notes); 3.947.634 ;11;100;5,07;;;;;;;;;;
32;2018;Debentures1aserie; 399.996 ;5;100;7,25;;;;;;;;;;
32;2018;Debentures2aserie; 399.996 ;5;100;2,5;;;;;;;;;;
33;2013;Capital de giro; 1.143.143 ;1;109,5;;;;;1;132;;;;;
33;2013;BNDES (i); 317.118 ;8;100;1,4;;;;8;100;4;;;;
33;2013;Quotas FIDC (iv); 869.632 ;1;108,9;;;;;1;157;;;;;
33;2013;Capital de giro (ii); 683.668 ;11;100;3,45;;;;11;100;7,89;;;;
33;2013;2ª Emissão pública; 114.631 ;5;100;8,4;;;;;;;;;;
33;2013;1ª Emissão privada; 200.577 ;1;115;;;;;;;;;;;
33;2013;3ª Emissão pública; 317.397 ;1;120;;;;;;;;;;;
33;2014;Capital de giro; 150.184 ;1;109,5;;;;;1;132;;;;;
33;2014;BNDES (i); 420.222 ;8;100;1,4;;;;8;100;4;;;;
33;2014;BNDES (i); 35.990 ;2;100;2,9;;;;;;;;;;
33;2014;BNDES (i); 52.947 ;6;100;;;;;;;;;;;
33;2014;FINEP (V); 79.555 ;4;100;;;;;;;;;;;
33;2014;Quotas FIDC (iv); 664.837 ;1;108,9;;;;;1;157;;;;;
33;2014;Capital de giro (ii); 399.346 ;11;100;3,45;;;;11;100;4,4;;;;
33;2014;1ª Emissão privada; 200.582 ;1;115;;;;;;;;;;;
33;2015;Capital de giro; 1.404.908 ;1;109;;;;;1;140;;;;;
33;2015;BNDES (i); 414.660 ;8;100;1,4;;;;8;100;4;;;;
33;2015;BNDES (i); 379.580 ;2;100;2,9;;;;;;;;;;
33;2015;BNDES (i); 22.539 ;6;100;;;;;;;;;;;
33;2015;FINEP (V); 231.570 ;4;100;;;;;;;;;;;
33;2015;Quotas FIDC (iv); 645.983 ;1;108,9;;;;;1;157;;;;;
33;2015;Capital de giro (ii); 964.300 ;11;100;3,53;;;;11;100;7,47;;;;
33;2015;1ª Emissão privada; 200.728 ;1;111,5;;;;;;;;;;;
33;2016;Capital de giro; 1.629.349 ;1;111;;;;;1;139;;;;;
33;2016;BNDES (i); 359.754 ;8;100;;;;;8;100;3,3;;;;
33;2016;BNDES (i); 435.626 ;2;100;2,9;;;;;;;;;;
33;2016;BNDES (i); 18.181 ;;;6;;;;;;;;;;
33;2016;FINEP (v); 226.844 ;;;4;;;;;;;;;;
33;2016;Quotas FIDC (iv); 525.856 ;1;108,9;;;;;1;157;;;;;
33;2016;Capital de giro (ii); 786.430 ;11;100;3,53;;;;11;100;7,47;;;;
33;2016;Operações de p; 114.980 ;1;121,5;;;;;1;138,2;;;;;
33;2016;1ª Emissão privada; 200.762 ;1;125;;;;;;;;;;;
33;2017;Capital de giro; 3.982.029 ;1;111;;;;;1;139;;;;;
33;2017;BNDES (i); 272.474 ;8;100;;;;;8;100;3,3;;;;
33;2017;BNDES (i); 390.387 ;2;100;2,9;;;;;;;;;;
33;2017;BNDES (i); 13.824 ;;;6;;;;;;;;;;
33;2017;FINEP (v); 170.134 ;;;4;;;;;;;;;;
33;2017;FINEP (v); 43.238 ;8;100;3,3;;;;;;;;;;
33;2017;Quotas FIDC (iv); 216.292 ;1;108,9;;;;;1;157;;;;;
33;2017;Capital de giro (ii); 965.009 ;11;100;3,53;;;;11;100;7,47;;;;
33;2017;Operações de swap; 63.373 ;1;121,5;;;;;1;139;;;;;
33;2017;1ª Emissão privada; 200.265 ;1;125;;;;;;;;;;;
33;2018;Capital de giro; 4.362.672 ;1;114;;;;;1;136;;;;;
33;2018;BNDES (i); 200.288 ;8;100;;;;;8;100;2,9;;;;
33;2018;BNDES (i); 457.510 ;22;100;;;;;22;100;2,5;;;;
33;2018;BNDES (i); 350.675 ;2;100;2,9;;;;;;;;;;
33;2018;BNDES (i); 9.463 ;;;6;;;;;;;;;;
33;2018;FINEP (iv); 113.423 ;;;4;;;;;;;;;;
33;2018;FINEP (iv); 65.388 ;8;100;3;;;;;;;;;;
33;2018;Capital de giro (ii); 684.091 ;11;100;5,11;;;;11;100;7,47;;;;
33;2018;Capital de giro (ii); 484.193 ;38;100;2,1;;;;38;100;2,3;;;;
34;2013;"Senior Notes Due
2018"; 852.705 ;;;9,5;;;;;;;;;;
34;2013;"Senior Notes Due
2023"; 987.914 ;;;5;;;;;;;;;;
34;2013;BNDES; 707.759 ;;;8,6;;;;;;;;;;
34;2013;BNDES; 310.358 ;;;10,7;;;;;;;;;;
34;2013;BNDES; 77.477 ;;;7,94;;;;;;;;;;
34;2013;Bônus perpétuos; 1.019.706 ;;;8,25;;;;;;;;;;
34;2013;Notas de crédito; 367.013 ;;;10,75;;;;;;;;;;
34;2013;Finame; 309.574 ;;;4,23;;;;;;;;;;
34;2013;Finame; 405.335 ;;;7,07;;;;;;;;;;
34;2013;Arrendamento; 2.020 ;;;9,77;;;;;;;;;;
34;2013;Empréstimos no exterior; 167.021 ;;;4,27;;;;;;;;;;
34;2013;EIB; 528.902 ;;;8,7;;;;;;;;;;
34;2013;Resolução 4131; 549.106 ;;;10,58;;;;;;;;;;
34;2013;Debêntures; 1.394.694 ;;;12,02;;;;;;;;;;
34;2013;Debêntures não conversíveis; 70.321 ;;;10,7;;;;;;;;;;
34;2013;Finep; 89.020 ;;;5;;;;;;;;;;
34;2013;Nota promissória; 402.104 ;;;10,07;;;;;;;;;;
34;2013;Cessão de crédito; 60.886 ;;;1,38;;;;;;;;;;
34;2014;Senior Notes Due 2018; 874.494 ;;;9,5;;;;;;;;;;
34;2014; Senior Notes Due 2023 ; 1.352.796 ;;;5;;;;;;;;;;
34;2014;BNDES; 288.209 ;;;7,75;;;;;;;;;;
34;2014;BNDES; 274.000 ;;;14,17;;;;;;;;;;
34;2014;BNDES; 834.565 ;;;7,8;;;;;;;;;;
34;2014;Bônus perpétuos; 1.344.760 ;;;8,25;;;;;;;;;;
34;2014; FINAME; 224 ;;;5,5;;;;;;;;;;
34;2014;Resolução 4131; 29.338 ;;;1,18;;;;;;;;;;
34;2014;Resolução 4131; 266.006 ;;;1,59;;;;;;;;;;
34;2014;Empréstimos no exterior; 224.047 ;;;3,88;;;;;;;;;;
34;2014;EIB; 691.463 ;;;2,07;;;;;;;;;;
34;2014;Resolução 4131; 466.494 ;;;2,72;;;;;;;;;;
34;2014; Debêntures não conversíveis; 131.229 ;;;11,81;;;;;;;;;;
34;2014;Debêntures; 447.386 ;;;11,98;;;;;;;;;;
34;2014;FINE; 165.032 ;;;5;;;;;;;;;;
34;2015;BNDES; 809.660 ;;;9,89;;;;;;;;;;
34;2015;BNDES; 298.258 ;;;16,2;;;;;;;;;;
34;2015;BNDES; 176.900 ;;;9,82;;;;;;;;;;
34;2015;EIB; 869.014 ;;;2,16;;;;;;;;;;
34;2015;FINAME; 164 ;;;5,5;;;;;;;;;;
34;2015;FINEP; 137.133 ;;;5;;;;;;;;;;
34;2015;Empréstimos no exterior; 312.940 ;;;3,95;;;;;;;;;;
34;2015; Bônus perpétuos ; 1.976.673 ;;;8,25;;;;;;;;;;
34;2015;Resolução 4131; 161.796 ;;;3,11;;;;;;;;;;
34;2015;Resolução 4131; 471.045 ;;;2,4;;;;;;;;;;
34;2015;Resolução 4131; 406.348 ;;;1,76;;;;;;;;;;
34;2015;Senior Notes Due 2018 ; 875.376 ;;;9,5;;;;;;;;;;
34;2015;Senior Notes Due 2023; 2.009.296 ;;;5;;;;;;;;;;
34;2015;Capital de giro; 25.004 ;;;18,03;;;;;;;;;;
34;2015;Capital de giro; 10.143 ;;;17,37;;;;;;;;;;
34;2015;Conta garantida; 17.763 ;;;16,89;;;;;;;;;;
34;2015;Debêntures não conversíveis; 1.198.190 ;;;5,6;;;;;;;;;;
34;2016;BNDES; 651.371 ;;;10,43;;;;;;;;;;
34;2016;BNDES; 313.395 ;;;15,72;;;;;;;;;;
34;2016;BNDES; 137.130 ;;;9,92;;;;;;;;;;
34;2016;EIB; 612.961 ;;;2,43;;;;;;;;;;
34;2016;FINAME; 105 ;;;5,5;;;;;;;;;;
34;2016;FINEP; 109.233 ;;;5;;;;;;;;;;
34;2016;Empréstimos no exterior ; 218.232 ;;;3,74;;;;;;;;;;
34;2016;Bônus perpétuos ; 1.650.089 ;;;8,25;;;;;;;;;;
34;2016;Resolução 4131; 133.957 ;;;4,79;;;;;;;;;;
34;2016;Resolução 4131; 407.306 ;;;2,4;;;;;;;;;;
34;2016;Resolução 4131; 32.798 ;;;3,13;;;;;;;;;;
34;2016;Senior Notes Due 2018 ; 168.163 ;;;9,5;;;;;;;;;;
34;2016;Senior Notes Due 2023 ; 322.062 ;;;5;;;;;;;;;;
34;2016;Senior Notes Due 2027 ; 2.304.384 ;;;7;;;;;;;;;;
34;2016;Capital de giro; 9.988 ;;;17,93;;;;;;;;;;
34;2016;Conta garantida ; 22.604 ;;;17,39;;;;;;;;;;
34;2016;FINIMP; 40.798 ;;;3,37;;;;;;;;;;
34;2016;Pré-pagamento; 55.641 ;;;3,91;;;;;;;;;;
34;2016;Debêntures não conversíveis; 1.947.912 ;;;5,63;;;;;;;;;;
34;2017;BNDES; 137.739 ;;;9,08;;;;;;;;;;
34;2017;BNDES; 650.581 ;;;9,89;;;;;;;;;;
34;2017;BNDES; 271.926 ;;;8,82;;;;;;;;;;
34;2017;BNDES; 41.650 ;;;9;;;;;;;;;;
34;2017;EIB; 170.848 ;;;3,88;;;;;;;;;;
34;2017;EIB; 89.899 ;;;2,94;;;;;;;;;;
34;2017;EIB; 172.263 ;;;1,9;;;;;;;;;;
34;2017;EIB; 179.951 ;;;1,98;;;;;;;;;;
34;2017;Empréstimos no exterior; 218.232 ;;;3,77;;;;;;;;;;
34;2017;Resolução 4131; 133.957 ;;;2,66;;;;;;;;;;
34;2017;Resolução 4131; 407.306 ;;;2,4;;;;;;;;;;
34;2017;Resolução 4131; 32.798 ;;;4,79;;;;;;;;;;
34;2017;Bônus Perpetuos; 1.650.089 ;;;8,25;;;;;;;;;;
34;2017;Senior Notes Due 2018; 168.163 ;;;9,5;;;;;;;;;;
34;2017;Senior Notes Due 2023 ; 322.062 ;;;5;;;;;;;;;;
34;2017;Senior Notes Due 2027 ; 2.304.384 ;;;7;;;;;;;;;;
34;2017;FINEP; 109.233 ;;;5;;;;;;;;;;
34;2017;Capital de giro; 9.988 ;;;10,93;;;;;;;;;;
34;2017;FINAME; 105 ;;;5,5;;;;;;;;;;
34;2017;Conta garantida; 22.604 ;;;8,72;;;;;;;;;;
34;2017;FINIMP; 40.798 ;;;3,52;;;;;;;;;;
34;2017;Pré-pagamento; 55.641 ;;;3,86;;;;;;;;;;
34;2017;Debêntures não conversíveis; 133.465 ;;;7,85;;;;;;;;;;
34;2017;Debêntures não conversíveis; 346.276 ;;;8,2;;;;;;;;;;
34;2017;Debêntures não conversíveis; 183.189 ;;;8,68;;;;;;;;;;
34;2017;Debêntures não conversíveis; 284.660 ;;;10,3;;;;;;;;;;
34;2017;Debêntures não conversíveis; 255.929 ;;;10,65;;;;;;;;;;
34;2017;Debêntures não conversíveis; 84.364 ;;;10,53;;;;;;;;;;
34;2017;Debêntures não conversíveis; 660.029 ;;;8,99;;;;;;;;;;
34;2018;BNDES; 107.731 ;;;9,06;;;;;;;;;;
34;2018;BNDES; 316.854 ;;;9,87;;;;;;;;;;
34;2018;BNDES; 152.562 ;;;8,32;;;;;;;;;;
34;2018;BNDES; 63.852 ;;;8,49;;;;;;;;;;
34;2018;EIB; 89.003 ;;;3,88;;;;;;;;;;
34;2018;EIB; 54.508 ;;;2,94;;;;;;;;;;
34;2018;EIB; 115.581 ;;;3,43;;;;;;;;;;
34;2018;EIB; 130.402 ;;;3,18;;;;;;;;;;
34;2018;FINEP; 93.309 ;;;5;;;;;;;;;;
34;2018;Empréstimos no exterior; 363.250 ;;;4,22;;;;;;;;;;
34;2018;Empréstimos no exterior; 199.794 ;;;2,43;;;;;;;;;;
34;2018;Resolução 4131; 156.387 ;;;3,75;;;;;;;;;;
34;2018;Resolução 4131; 292.172 ;;;3,67;;;;;;;;;;
34;2018;Resolução 4131; 39.738 ;;;4,79;;;;;;;;;;
34;2018;Resolução 4131; 41.033 ;;;4,34;;;;;;;;;;
34;2018;Bônus perpétuos; 1.961.819 ;;;8,25;;;;;;;;;;
34;2018;Senior Notes Due 2023; 409.590 ;;;5;;;;;;;;;;
34;2018;Senior Notes Due 2027; 2.977.721 ;;;7;;;;;;;;;;
34;2018;Capital de giro; 15.402 ;;;7,86;;;;;;;;;;
34;2018;Capital de giro; 30.828 ;;;7,74;;;;;;;;;;
34;2018;Capital de giro; 5.018 ;;;8,06;;;;;;;;;;
34;2018;"""Pré-pagamento"""; 11.706 ;;;3,81;;;;;;;;;;
34;2018;Debêntures não conversíveis; 43.471 ;;;7,36;;;;;;;;;;
34;2018;Debêntures não conversíveis; 203.613 ;;;9,47;;;;;;;;;;
34;2018;Debêntures não conversíveis; 305.894 ;;;11,09;;;;;;;;;;
34;2018;Debêntures não conversíveis; 275.014 ;;;11,45;;;;;;;;;;
34;2018;Debêntures não conversíveis; 90.656 ;;;11,32;;;;;;;;;;
34;2018;Debêntures não conversíveis; 767.638 ;;;9,78;;;;;;;;;;
34;2018;Debêntures não conversíveis; 414.583 ;;;8,18;;;;;;;;;;
34;2018;Debêntures não conversíveis; 228.009 ;;;14,61;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 152.328 ;;;9,38;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 178.897 ;;;11,75;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 305.006 ;;;8;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 1.000.375 ;;;7,25;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 940.780 ;;;7;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 828.360 ;;;7;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 1.072.742 ;;;7,38;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 1.772.070 ;;;5,75;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 1.207.927 ;;;7,13;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 592.666 ;;;5,75;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 595.968 ;;;7,38;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 1.181.443 ;;;5,38;;;;;;;;;;
36;2013;Bonds e Medium Term Notes (MTN); 603.964 ;;;7,13;;;;;;;;;;
36;2013;Adiantamentos de contrato de câmbio; 117.132 ;11;100;0,6;;;;;;;;;;
36;2013;Pré-pagamentos de exportações; 118.505 ;11;100;2,47;4;100;;;;;;;;
36;2013;Pré-pagamentos de exportações; 422.239 ;11;100;1,1;4;100;;;;;;;;
36;2013;BNDES; 6.533 ;11;100;6,47;;;;;;;;;;
36;2013;BNDES; 10.389 ;11;100;6,4;;;;;;;;;;
36;2013;BNDES; 39.838 ;11;100;6,25;;;;;;;;;;
36;2013;BNDES; 80.826 ;11;100;6,25;;;;;;;;;;
36;2013;BNDES; 115.082 ;11;100;6,25;;;;;;;;;;
36;2013;BNDES; 159.917 ;11;100;6,1;;;;;;;;;;
36;2013;BNDES; 40.480 ;11;100;6,12;;;;;;;;;;
36;2013;BNDES; 49.294 ;8;100;2,8;;;;;;;;;;
36;2013;BNDES; 75.867 ;8;100;2,73;;;;;;;;;;
36;2013;BNDES; 280.631 ;8;100;2,39;;;;;;;;;;
36;2013;BNDES; 240.915 ;8;100;3,08;;;;;;;;;;
36;2013;BNDES; 10.763 ;;;4,5;;;;;;;;;;
36;2013;BNDES; 352.364 ;8;100;1,79;;;;;;;;;;
36;2013;BNDES; 40.091 ;;;5,5;;;;;;;;;;
